function                                                                                                                                                         #calls  time     memory  time     memory
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
array_merge                                                                                                                                                        7235  0.1968 69644840  0.1968 69644840
AutoLoader::autoload                                                                                                                                                183  0.5447 38255032  0.4221 33522760
Composer\Autoload\includeFile                                                                                                                                       311  0.3697 14054608  0.2441 11261320
unserialize                                                                                                                                                        1268  0.6669 17542784  0.0261 10500240
strtr                                                                                                                                                             11960  0.3389  5878104  0.3179  5876880
json_decode                                                                                                                                                         245  0.0262  5812288  0.0262  5812288
Message->extractParam                                                                                                                                             12160  1.2833  6318000  0.4439  5737632
class_implements                                                                                                                                                   3490  0.0864  4439304  0.0864  4439304
func_get_args                                                                                                                                                      3758  0.0878  4432600  0.0878  4432600
Title::makeTitle                                                                                                                                                   1036  0.3668  4623408  0.1051  4256856
str_replace                                                                                                                                                        8847  0.2156  3757296  0.2156  3757296
Wikibase\DataModel\Entity\BasicEntityIdParser::getBuilders                                                                                                         1796  0.0787  2818400  0.0767  2768752
fread                                                                                                                                                              1082  0.0290  2127688  0.0290  2127688
preg_replace                                                                                                                                                       2371  0.0654  2120736  0.0654  2120736
require_once                                                                                                                                                         60  0.1696 19471264  0.0082  1816184
debug_backtrace                                                                                                                                                      30  0.0019  1769576  0.0019  1769576
gzuncompress                                                                                                                                                         29  0.0085  1766376  0.0085  1766376
mysqli_result->fetch_object                                                                                                                                        1408  0.0458  1710264  0.0458  1710264
extract                                                                                                                                                             876  0.0230  1669920  0.0230  1669920
Message->__construct                                                                                                                                               2741  0.3390  2684576  0.1503  1615000
str_ireplace                                                                                                                                                       1613  0.0424  1475120  0.0424  1475120
Parser->clearState                                                                                                                                                  318  0.7764   746408  0.0439  1420136
SyntaxHighlight_GeSHi::initialise                                                                                                                                     1  0.0412  1524368  0.0336  1391960
Wikibase\Utils::getLanguageCodes                                                                                                                                     34  0.0048  1452184  0.0030  1338264
stream_get_meta_data                                                                                                                                               1026  0.0290  1297176  0.0290  1297176
array_values                                                                                                                                                       3530  0.0812  1281816  0.0812  1281816
Preprocessor_DOM->preprocessToXml                                                                                                                                   346  0.6024  4918936  0.1212  1234944
wfMessage                                                                                                                                                          1148  0.2630  2492320  0.0614  1200216
mysqli->query                                                                                                                                                       550  0.2641  1086896  0.2641  1086896
call_user_func_array:{/Library/WebServer/Documents/php-master/includes/Hooks.php:206}                                                                              3643  4.4854 16765664  0.1281  1079208
Wikibase\DataModel\Entity\{closure}                                                                                                                                2498  1.0680  1649856  0.0892  1039688
array_filter                                                                                                                                                       3667  0.1080  1026216  0.0882  1009896
wfProfileOut                                                                                                                                                      20242  0.5226   971632  0.5226   971632
wfProfileIn                                                                                                                                                       20242  0.5031   993808  0.5027   971568
substr                                                                                                                                                            15447  0.3571   857288  0.3571   857288
explode                                                                                                                                                            1388  0.0332   770664  0.0332   770664
Wikibase\DataModel\Claim\Claim->__construct                                                                                                                         849  0.0906   784000  0.0341   756888
array_keys                                                                                                                                                          874  0.0209   664880  0.0209   664880
DOMXPath->query                                                                                                                                                     584  0.0207   661440  0.0207   661440
DOMNodeList->item                                                                                                                                                  3185  0.0872   651504  0.0872   651504
include                                                                                                                                                             347  0.1364  3822496  0.0151   644856
Wikibase\LanguageWithConversion::factory                                                                                                                            396  0.1070   627944  0.0278   609312
serialize                                                                                                                                                          2688  0.4545   918912  0.0667   570952
QuickTemplate->html                                                                                                                                                  27  0.0009   564496  0.0009   564496
Html::rawElement                                                                                                                                                    481  0.5376   646208  0.0271   550624
preg_match                                                                                                                                                        14292  0.3865   497824  0.3865   497824
wfSetVar                                                                                                                                                           1325  0.0720   497352  0.0422   497352
Parser->lock                                                                                                                                                        318  0.0327   463648  0.0125   433920
require                                                                                                                                                             226  0.2809 23745984  0.0140   432448
OutputPage->addHTML                                                                                                                                                   1  0.0001   432256  0.0001   432256
error_reporting                                                                                                                                                    4481  0.1217   430392  0.1217   430392
implode                                                                                                                                                            2282  0.0540   423816  0.0540   423816
Preprocessor_DOM->newFrame                                                                                                                                          346  0.0728   730848  0.0130   415296
DatabaseBase->makeSelectOptions                                                                                                                                     548  0.0753   486656  0.0370   398976
StripState->__construct                                                                                                                                             318  0.0103   384144  0.0103   384144
Hooks::getHandlers                                                                                                                                                 6011  0.3868   671112  0.2173   382584
Wikibase\DataModel\Claim\Statement->__construct                                                                                                                     849  0.1670  1205184  0.0513   380432
Wikibase\DataModel\Entity\EntityIdValue->getArrayValue                                                                                                              897  0.1519   423408  0.0419   380352
array_diff_key                                                                                                                                                       40  0.0012   377624  0.0012   377624
array_map                                                                                                                                                           699  0.6692   749280  0.0241   370888
Wikibase\DataModel\Snak\SnakList::newFromArray                                                                                                                      296  0.3797   530208  0.0129   367040
unpack                                                                                                                                                             1064  0.0247   358720  0.0247   358720
ArrayObject->offsetSet                                                                                                                                             3086  0.0834   343576  0.0834   343576
DatabaseBase->resultObject                                                                                                                                          549  0.0644   355712  0.0475   329376
iterator_to_array                                                                                                                                                  1231  0.0355   358160  0.0327   328504
set_error_handler                                                                                                                                                  3644  0.0890   328464  0.0890   328464
json_encode                                                                                                                                                        1044  0.0302   315448  0.0302   315448
Parser->braceSubstitution                                                                                                                                           292  2.5884  2209016  0.1011   306000
Wikibase\DataModel\Deserializers\ClaimDeserializer->getDeserialized                                                                                                 566  3.2270  3292616  0.0544   294416
Wikibase\DataModel\Entity\EntityId->setIdSerialization                                                                                                             3045  0.4079   389776  0.1601   292336
Wikibase\LanguageFallbackChainFactory->newFromLanguageCode                                                                                                          400  0.2975  1113920  0.0243   290792
Hooks::isRegistered                                                                                                                                                6012  0.1695   288576  0.1695   288576
PPFrame_DOM->__construct                                                                                                                                            346  0.0599   315552  0.0145   287872
LinkCache->addGoodLinkObjFromRow                                                                                                                                    280  0.1383   319552  0.0399   287808
Wikibase\DataModel\Claim\Claim->toArray                                                                                                                             566  0.3069  1188896  0.0271   285280
Wikibase\DataModel\Entity\EntityIdValue::newFromArray                                                                                                               897  0.9883  1079552  0.0662   279888
StringUtils::explode                                                                                                                                                396  0.0505   614960  0.0212   278912
Wikibase\DataModel\Snak\SnakObject->toArray                                                                                                                         694  0.1172   360880  0.0380   272048
Wikibase\DataModel\Entity\EntityIdValue::getType                                                                                                                   2990  0.0816   263120  0.0816   263120
PPDStack->push                                                                                                                                                      295  0.0622   493304  0.0171   262008
strrev                                                                                                                                                             2634  0.0600   255720  0.0600   255720
Wikibase\DataModel\Deserializers\SnakDeserializer->newValueSnak                                                                                                     692  1.8566  1755696  0.0474   254848
PPNode_DOM->item                                                                                                                                                    568  0.0563   281728  0.0255   254464
PPDStackElement->addPart                                                                                                                                            570  0.0369   278232  0.0213   250872
Wikibase\DataModel\HashArray->__construct                                                                                                                           948  0.1849    77680  0.0456   250432
sprintf                                                                                                                                                             961  0.0219   246064  0.0219   246064
mysqli->real_escape_string                                                                                                                                         1811  0.0509   237072  0.0509   237072
MagicWord::get                                                                                                                                                     1066  0.0741   417064  0.0329   229512
{closure:/Library/WebServer/Documents/php-master/extensions/Wikidata/extensions/Wikibase/client/config/WikibaseClient.default.php:19-274}                             1  0.0002   226632  0.0002   226632
Wikibase\ReferencedEntitiesFinder->findDataValueLinks                                                                                                              1038  0.1313   310320  0.0544   220104
ParserOutput->__construct                                                                                                                                           319  0.0098   219472  0.0098   219472
array_slice                                                                                                                                                         486  0.0113   217456  0.0113   217456
{closure:/Library/WebServer/Documents/php-master/extensions/Wikidata/extensions/Wikibase/client/WikibaseClient.php:66-145}                                            1  0.0018   513136  0.0010   214040
Wikibase\DataModel\ByPropertyIdArray->buildIndex                                                                                                                    593  0.0820   213120  0.0300   213120
DatabaseBase->fieldNamesWithAlias                                                                                                                                   311  0.1446   212408  0.0391   212408
Wikibase\DataModel\ByPropertyIdArray->__construct                                                                                                                   593  0.0385    82264  0.0222   210352
include_once                                                                                                                                                          7  0.0380  4059800  0.0009   208992
trim                                                                                                                                                               1586  0.0363   205728  0.0363   205728
Wikibase\Lib\Store\Sql\SqlEntityInfoBuilder->updateEntityInfo                                                                                                       321  0.0664   267040  0.0210   200920
CLDRPluralRuleEvaluatorRange->__construct                                                                                                                           568  0.0168   199944  0.0168   199944
Site->getNavigationIds                                                                                                                                              916  0.0539   197856  0.0326   197856
Title->isExternal                                                                                                                                                  4082  0.1573   195936  0.1573   195936
PPDStack->getFlags                                                                                                                                                  590  0.0547   391784  0.0234   195904
PPDStackElement->getFlags                                                                                                                                           295  0.0178   195880  0.0112   195880
PPDStackElement->__construct                                                                                                                                        295  0.0207   231296  0.0124   193512
addcslashes                                                                                                                                                          14  0.0007   192560  0.0007   192560
preg_replace_callback                                                                                                                                              1224  0.0345   187704  0.0341   187464
strtolower                                                                                                                                                         5555  0.1256   177816  0.1256   177816
Message::numParam                                                                                                                                                   567  0.0156   176904  0.0156   176904
htmlspecialchars                                                                                                                                                   1222  0.0557   180176  0.0289   176016
MagicWordArray->getRegexStart                                                                                                                                       292  0.0300   179704  0.0116   175200
Wikibase\Lib\Serializers\ClaimSerializer->getListSerializer                                                                                                         283  0.0592   185728  0.0161   172144
Wikibase\DataModel\Entity\Entity->copy                                                                                                                                5  0.4038 -1194224  0.0007   172120
Wikibase\Lib\Store\Sql\SqlEntityInfoBuilder->injectLabel                                                                                                            237  0.0075   170640  0.0075   170640
PPDStack->__construct                                                                                                                                               346  0.0103   168848  0.0103   168848
strtoupper                                                                                                                                                         4410  0.1013   168808  0.1013   168808
{closure:/Library/WebServer/Documents/php-master/extensions/Wikidata/extensions/Wikibase/lib/resources/Resources.php:18-882}                                          1  0.0013   205216  0.0006   165104
Wikibase\DataModel\Entity\PropertyId::newFromNumber                                                                                                                 395  0.1710   246480  0.0183   164320
Wikibase\Lib\Serializers\SnakSerializer->getSerialized                                                                                                              347  0.2257   536280  0.0342   164280
array_flip                                                                                                                                                           84  0.0020   158568  0.0020   158568
reset                                                                                                                                                              2833  0.0651   156880  0.0651   156880
Composer\Autoload\ClassLoader->findFile                                                                                                                            1527  0.3623   211352  0.0791   152640
OutputPage::getHtmlFromLoaderLinks                                                                                                                                    3  0.0019   150672  0.0003   150192
call_user_func_array:{/Library/WebServer/Documents/php-master/includes/parser/Parser.php:3779}                                                                      285  0.7118   263912  0.0114   148024
Wikibase\DataModel\Snak\SnakObject::newFromArray                                                                                                                    347  1.5639   701168  0.0282   146760
Wikibase\DataModel\Entity\EntityId->setEntityType                                                                                                                  3045  0.1821   146160  0.1119   146160
DataValues\DataValueObject->toArray                                                                                                                                 346  0.0791   323664  0.0158   141184
Wikibase\DataModel\Entity\ItemId->__construct                                                                                                                      1573  0.5871   417768  0.0817   140920
Wikibase\DataModel\Snak\SnakList->toArray                                                                                                                           592  0.0722   300488  0.0199   139184
Wikibase\DataModel\Snak\PropertyValueSnak->getType                                                                                                                 1730  0.0475   138400  0.0475   138400
Wikibase\Lib\Serializers\ClaimSerializer->getSerialized                                                                                                             283  0.8828   831456  0.0331   134680
DataValues\TimeValue->getArrayValue                                                                                                                                 166  0.0049   134224  0.0049   134224
array_change_key_case                                                                                                                                                 3  0.0006   133072  0.0006   133072
Message->plain                                                                                                                                                     1588  1.3422  3271608  0.0574   127040
HashBagOStuff->set                                                                                                                                                  227  0.0231   136368  0.0092   125472
Wikibase\DataModel\ReferenceList->toArray                                                                                                                           566  0.0422   207720  0.0173   124544
Wikibase\DataModel\Snak\PropertyValueSnak->toArray                                                                                                                  692  0.2837   846568  0.0402   121816
array_unique                                                                                                                                                        241  0.0061   121688  0.0061   121688
Wikibase\DataModel\Entity\DispatchingEntityIdParser->assertIdIsString                                                                                              2498  0.1498   119904  0.0913   119904
Wikibase\DataModel\Entity\DispatchingEntityIdParser->buildId                                                                                                       2498  1.2518  1649840  0.0930   119904
CustomData->onParserClearState                                                                                                                                      318  0.0096   117024  0.0096   117024
ComposerAutoloaderInitd912f0548c242e3ba7ad192b185e9247::loadClassLoader                                                                                               1  0.0004   115656  0.0004   115608
Language::fetchLanguageNamesUncached                                                                                                                                  3  0.2108   402192  0.0107   115400
Wikibase\DataModel\ReferenceList::newFromArray                                                                                                                      283  0.1703   214504  0.0109   114264
Wikibase\Lib\Store\Sql\SqlEntityInfoBuilder->injectDescription                                                                                                      158  0.0049   113760  0.0049   113760
SyntaxHighlight_GeSHi::resourceLoaderRegisterModules                                                                                                                  1  0.0932  1703600  0.0006   111928
Wikibase\DataModel\Claim\Statement->toArray                                                                                                                         566  0.3759  1505288  0.0268   108672
LocalisationCache->initLanguage                                                                                                                                       6  0.1443   651032  0.0013   106952
Title::newFromText                                                                                                                                                   57  0.0972   156192  0.0052   106936
Wikibase\LanguageFallbackChain->getValueArray                                                                                                                       207  0.0124   104328  0.0077   104328
Wikibase\DataModel\LegacyIdInterpreter::constructSerialization                                                                                                     1296  0.1245   103704  0.0632   103704
ResourceLoader->getModule                                                                                                                                            80  0.0686   724568  0.0044    97648
strval                                                                                                                                                             1989  0.0724    99632  0.0454    97400
Wikibase\DataModel\Snak\SnakList->getSnaksByProperty                                                                                                                 86  0.0169    91808  0.0065    91808
parse_url                                                                                                                                                           166  0.0043    91176  0.0043    91176
{closure:/Library/WebServer/Documents/php-master/extensions/Wikidata/extensions/Wikibase/lib/WikibaseLib.php:71-157}                                                  1  0.0021   332120  0.0006    90184
Wikibase\Repo\WikibaseRepo->getContentModelMappings                                                                                                                 168  0.0410    96768  0.0070    88704
Message->text                                                                                                                                                      1085  8.8903  7278032  0.0401    86800
Wikibase\DataModel\Entity\DispatchingEntityIdParser->__construct                                                                                                   1796  0.0525    86224  0.0525    86224
ucfirst                                                                                                                                                            1580  0.0358    81424  0.0358    81424
Wikibase\LanguageFallbackChainFactory->buildFromLanguage                                                                                                            433  0.3070  1151168  0.0291    81192
Title::getTitleInvalidRegex                                                                                                                                         432  0.0120    79624  0.0120    79512
sha1                                                                                                                                                               1241  0.0303    79504  0.0303    79504
SpecialPageFactory::getPage                                                                                                                                          32  0.3156  2822760  0.0028    79408
Wikibase\DataModel\Entity\ItemIdSet->getIterator                                                                                                                    119  0.0080    80176  0.0046    78064
call_user_func_array:{/Library/WebServer/Documents/php-master/extensions/Wikidata/extensions/Wikibase/lib/includes/store/EntityRedirectResolvingDecorator.php:79}   302  2.0099  3207488  0.0115    77312
Wikibase\DataModel\Entity\ItemId->assertValidIdFormat                                                                                                              1573  0.1460    75504  0.0707    75504
Wikibase\TemplateRegistry::singleton                                                                                                                               1559  0.0464    75168  0.0464    75168
DatabaseMysqlBase->isQuotedIdentifier                                                                                                                              1564  0.0942    75088  0.0580    75088
SiteList->getObjectType                                                                                                                                             916  0.0244    73280  0.0244    73280
PPNode_DOM->__construct                                                                                                                                            1526  0.0427    73248  0.0427    73248
Wikibase\DataModel\Entity\PropertyId->assertValidIdFormat                                                                                                          1472  0.1365    70656  0.0659    70656
