function                                                                                                                                                              #calls  time     memory  time     memory
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
array_merge                                                                                                                                                             6152  0.1561 36817960  0.1561 36817960
AutoLoader::autoload                                                                                                                                                     182  0.1954 38234232  0.1239 33514648
unserialize                                                                                                                                                             5470  3.3646 30903960  0.0985 23404856
Composer\Autoload\includeFile                                                                                                                                            318  0.1587 14172048  0.0620 11540992
strtr                                                                                                                                                                  12060  0.3407  5938528  0.3170  5937216
Message->extractParam                                                                                                                                                  11910  1.2039  6150240  0.4390  5621520
Wikibase\DataModel\Entity\BasicEntityIdParser::getBuilders                                                                                                              3314  0.1086  4771560  0.1046  4697048
func_get_args                                                                                                                                                           3642  0.0856  4408584  0.0856  4408584
Title::makeTitle                                                                                                                                                        1015  0.3348  4532336  0.0794  4173104
str_replace                                                                                                                                                             8703  0.2112  3741464  0.2112  3741464
json_decode                                                                                                                                                             2164  0.0702  3292280  0.0702  3292280
gzuncompress                                                                                                                                                             122  0.0173  2817000  0.0173  2817000
fread                                                                                                                                                                   1105  0.0305  2292344  0.0305  2292344
preg_replace                                                                                                                                                            2413  0.0667  2125064  0.0667  2125064
require_once                                                                                                                                                              60  0.2549 17988944  0.0085  1816272
mysqli_result->fetch_object                                                                                                                                             1408  0.0440  1710832  0.0440  1710832
debug_backtrace                                                                                                                                                           28  0.0019  1707744  0.0019  1707744
extract                                                                                                                                                                  876  0.0230  1669872  0.0230  1669872
Message->__construct                                                                                                                                                    2668  0.6164  2616208  0.3211  1572712
Parser->clearState                                                                                                                                                       316  0.7743   747272  0.0435  1411304
str_ireplace                                                                                                                                                            1530  0.0403  1399880  0.0403  1399880
SyntaxHighlight_GeSHi::initialise                                                                                                                                          1  0.0083  1524552  0.0048  1392104
Wikibase\DataModel\Entity\{closure}                                                                                                                                     4014  0.8139  1977280  0.1426  1320064
stream_get_meta_data                                                                                                                                                    1026  0.0290  1296864  0.0290  1296864
array_values                                                                                                                                                            3503  0.0816  1292440  0.0816  1292440
Preprocessor_DOM->preprocessToXml                                                                                                                                        342  0.6068  4916144  0.1221  1248448
wfMessage                                                                                                                                                               1144  0.5474  2484136  0.0619  1195816
substr                                                                                                                                                                 18109  0.4174  1104440  0.4174  1104440
mysqli->query                                                                                                                                                            550  0.2488  1086904  0.2488  1086904
call_user_func_array:{/Library/WebServer/Documents/php-master/includes/Hooks.php:206}                                                                                   3603  4.7771 18408552  0.1273  1069952
array_filter                                                                                                                                                            3641  0.1089  1021672  0.0879  1002952
wfProfileOut                                                                                                                                                           19985  0.5005   959280  0.5005   959280
wfProfileIn                                                                                                                                                            19985  0.5014   981472  0.5010   959232
serialize                                                                                                                                                               5852  1.2356  1788456  0.0746   811784
explode                                                                                                                                                                 1366  0.0323   765248  0.0323   765248
Wikibase\DataModel\Claim\Claim->__construct                                                                                                                              566  0.0889   955960  0.0264   729672
Wikibase\DataModel\Entity\PropertyId::newFromNumber                                                                                                                     2251  0.5230   990624  0.1063   702448
Wikibase\Utils::getLanguageCodes                                                                                                                                          17  0.0029   783040  0.0015   669120
array_keys                                                                                                                                                               866  0.0211   663872  0.0211   663872
